Timing,Video,Ref,Lines,Top,Bot,Left,Right,Ext,Res
0/1 48k,VGA,50Hz,312,280,223,51.1,36.15,80x64,336x256
0/1 48k,VGA,60Hz,262,246,207,51.1,36.15,80x48,336x240
2/3 128k,VGA,50Hz,311,279,223,52.1,36.15,80x64,336x256
2/3 128k,VGA,60Hz,261,245,207,52.1,36.15,80x48,336x240
4 Pentagon,VGA,50Hz,320,288,223,51.1,36.15,80x64,336x256
0/1 48k,HDMI,50Hz,312,280,223,49.1,36.15,80x64,336x256
0/1 48k,HDMI,60Hz,262,246,207,48.11,36.15,80x48,336x240
2/3 128k,HDMI,50Hz,312,280,223,49.1,36.15,80x64,336x256
2/3 128k,HDMI,60Hz,262,246,207,48.11,36.15,80x48,336x240
4 Pentagon,HDMI,50Hz,312,280,223,49.1,36.15,80x64,336x256
4 Pentagon,HDMI,60Hz,262,246,207,48.11,36.15,80x48,336x240