Timing,Video,Refresh,T-States,Clocks,Lines,Width,HRZ,Max,Slack,Adjust
0/1 48k,VGA,50Hz,224,896,312,256,448,54,32,-3
0/1 48k,VGA,50Hz,224,896,312,512,448,54,32,-2
0/1 48k,VGA,60Hz,224,896,262,256,448,54,32,-3
0/1 48k,VGA,60Hz,224,896,262,512,448,54,32,-2
2/3 128k,VGA,50Hz,228,912,311,256,456,55,32,-3
2/3 128k,VGA,50Hz,228,912,311,512,456,55,32,-2
2/3 128k,VGA,60Hz,228,912,261,256,456,55,32,-3
2/3 128k,VGA,60Hz,228,912,261,512,456,55,32,-2
4 Pentagon,VGA,50Hz,224,896,320,256,448,55,32,-3
4 Pentagon,VGA,50Hz,224,896,320,512,448,55,32,-2
0/1 48k,HDMI,50Hz,216,864,312,256,432,52,32,-3
0/1 48k,HDMI,50Hz,216,864,312,512,432,52,32,-2
0/1 48k,HDMI,60Hz,214.5,858,262,256,429,52,26,-3
0/1 48k,HDMI,60Hz,214.5,858,262,512,429,52,26,-2
2/3 128k,HDMI,50Hz,216,864,312,256,432,52,32,-3
2/3 128k,HDMI,50Hz,216,864,312,512,432,52,32,-2
2/3 128k,HDMI,60Hz,214.5,858,262,256,439,52,26,-3
2/3 128k,HDMI,60Hz,214.5,858,262,512,439,52,26,-2
4 Pentagon,HDMI,50Hz,216,864,312,256,432,52,32,-3
4 Pentagon,HDMI,50Hz,216,864,312,512,432,52,32,-2
4 Pentagon,HDMI,60Hz,214.5,858,262,256,439,52,26,-3
4 Pentagon,HDMI,60Hz,214.5,858,262,512,439,52,26,-2